image_name,optimal_clusters
000000000772,3
000000000795,15
000000000775,3
000000000790,13
000000000797,3
000000000801,3
000000000781,3
000000000810,22
000000000813,21
000000000821,3
000000000825,19
000000000831,3
000000000836,3
000000000827,3
000000000828,3
000000000873,3
000000000839,11
000000000853,3
000000000882,22
000000000897,3
000000000902,3
000000000901,23
000000000909,22
000000000908,25
000000000925,3
000000000913,3
000000000941,3
000000000923,15
000000000927,3
000000000939,26
000000000934,9
000000000943,17
000000000955,23
000000000974,4
000000000960,9
000000000962,25
000000000969,4
000000000965,5
000000000977,5
000000000982,3
000000000985,4
000000000984,3
000000000999,26
000000000996,8
000000000987,4
000000001006,3
000000001011,18
000000001014,4
000000001025,3
000000001029,5
000000001053,3
000000001064,24
000000001059,20
000000001036,20
000000001063,3
000000001072,5
000000001083,3
000000001084,9
000000001085,4
000000001090,3
000000001089,24
000000001099,3
000000001098,10
000000001102,3
000000001103,5
000000001138,4
000000001107,3
000000001111,4
000000001108,3
000000001122,3
000000001139,3
000000001144,13
000000001155,24
000000001153,3
000000001145,4
000000001166,3
000000001146,3
000000001149,23
000000001164,3
000000001168,3
000000001171,5
000000001176,11
000000001180,3
000000001183,3
000000001204,4
000000001200,3
000000001205,3
000000001213,4
000000001216,3
000000001224,23
000000001238,4
000000001232,3
000000001228,21
000000001237,3
000000001244,3
000000001261,14
000000001264,21
000000001270,4
000000001282,3
000000001271,4
000000001290,3
000000001292,17
000000001306,3
000000001295,4
000000001298,21
000000001307,3
000000001308,6
000000001311,3
000000001315,3
000000001319,17
000000001323,4
000000001340,3
000000001330,3
000000001332,26
000000001347,23
000000001342,3
000000001350,3
000000001366,26
000000001355,3
000000001359,3
000000001360,4
000000001369,18
000000001374,3
000000001375,3
000000001381,3
000000001386,26
000000001390,3
000000001392,13
000000001401,3
000000001398,3
000000001393,5
000000001397,4
000000001436,3
000000001404,4
000000001403,3
000000001408,16
000000001407,3
000000001431,26
000000001424,19
000000001442,3
000000001448,3
000000001455,4
000000001451,8
000000001453,5
000000001464,3
000000001472,24
000000001488,3
000000001497,3
000000001496,3
000000001501,3
000000001505,4
000000001510,3
000000001522,26
000000001515,7
000000001507,3
000000001518,3
000000001525,3
000000001523,3
000000001526,4
000000001527,4
000000001548,3
000000001536,3
000000001554,5
000000001562,25
000000001558,3
000000001561,3
000000001569,15
000000001563,4
000000001579,20
000000001577,18
000000001573,10
000000001586,9
000000001580,3
000000001590,7
000000001589,4
000000001596,3
000000001592,21
000000001591,16
000000001622,6
000000001599,3
000000001611,3
000000001626,3
000000001625,3
000000001637,3
000000001647,24
000000001639,3
000000001655,3
000000001667,16
000000001645,4
000000001681,3
000000001668,25
000000001670,3
000000001674,3
000000001682,3
000000001697,3
000000001700,3
000000001709,5
000000001688,6
000000001706,4
000000001712,3
000000001720,5
000000001722,3
000000001732,4
000000001737,9
000000001739,11
000000001764,3
000000001756,26
000000001762,3
000000001757,3
000000001771,3
000000001774,5
000000001779,5
000000001777,3
000000001786,4
000000001790,6
000000001781,24
000000001785,3
000000001792,3
000000001803,4
000000001799,3
000000001810,3
000000001813,3
000000001804,3
000000001837,4
000000001815,3
000000001811,23
000000001841,3
000000001822,3
000000001840,3
000000001852,11
000000001856,3
000000001864,18
000000001900,9
000000001895,6
000000001869,6
000000001875,4
000000001888,7
000000001877,3
000000001903,20
000000001906,4
000000001902,3
000000001911,6
000000001907,4
000000001915,11
000000001912,3
000000001943,4
000000001924,3
000000001941,6
000000001926,4
000000001947,8
000000001948,3
000000001942,14
000000001987,3
000000001955,3
000000001960,8
000000001966,10
000000001958,26
000000001994,3
000000001997,26
000000001999,4
000000002001,3
000000002007,5
000000002014,3
000000002061,11
000000002024,3
000000002055,23
000000002056,24
000000002066,3
000000002072,7
000000002068,3
000000002083,4
000000002093,8
000000002089,25
000000002106,3
000000002114,3
000000002124,3
000000002142,22
000000002139,3
000000002135,3
000000002148,3
000000002150,12
000000002164,3
000000002154,3
000000002171,3
000000002178,3
000000002184,4
000000002179,9
000000002209,3
000000002191,26
000000002193,26
000000002197,3
000000002225,25
000000002212,5
000000002211,7
000000002229,3
000000002217,13
000000002235,25
000000002232,26
000000002239,23
000000002276,7
000000002240,25
000000002244,5
000000002255,4
000000002258,4
000000002270,5
000000002278,4
000000002279,3
000000002280,22
000000002281,4
000000002296,4
000000002284,11
000000002290,3
000000002295,12
000000002283,3
000000002302,3
000000002309,3
000000002337,9
000000002315,3
000000002342,25
000000002346,3
000000002347,3
000000002369,3
000000002349,18
000000002372,4
000000002374,3
000000002402,3
000000002389,7
000000002388,5
000000002377,3
000000002400,7
000000002411,25
000000002415,3
000000002429,24
000000002444,3
000000002434,3
000000002445,6
000000002446,3
000000002448,3
000000002451,3
000000002453,6
000000002477,8
000000002466,6
000000002459,24
000000002471,22
000000002521,5
000000002470,3
000000002496,3
000000002529,6
000000002495,3
000000002498,3
000000002525,22
000000002531,3
000000002536,4
000000002543,3
000000002544,7
000000002545,3
000000002559,6
000000002555,3
000000002562,3
000000002560,23
000000002563,3
000000002583,4
000000002567,3
000000002570,3
000000002575,3
000000002585,3
000000002602,19
000000002591,3
000000002606,26
000000002608,8
000000002613,3
000000002614,3
000000002618,6
000000002621,3
000000002619,25
000000002623,3
000000002624,6
000000002639,3
000000002640,3
000000002644,20
000000002645,3
000000002658,26
000000002672,7
000000002693,12
000000002664,26
000000002684,3
000000002687,18
000000002686,4
000000002690,4
000000002691,11
000000002752,17
000000002732,24
000000002703,12
000000002697,26
000000002755,3
000000002742,3
000000002753,6
000000002754,3
000000002770,3
000000002759,8
000000002758,26
000000002764,6
000000002774,5
000000002776,3
000000002782,6
000000002822,4
000000002823,3
000000002833,6
000000002839,3
000000002843,26
000000002849,8
000000002842,3
000000002867,22
000000002860,21
000000002886,3
000000002881,4
000000002890,3
000000002894,3
000000002892,26
000000002896,25
000000002902,13
000000002907,3
000000002931,3
000000002963,25
000000002951,3
000000002964,6
000000002972,3
000000002988,3
000000002983,26
000000002982,11
000000002985,3
000000002989,21
000000002992,7
000000002998,24
000000003000,7
000000003014,4
000000003001,3
000000003008,19
000000003003,3
000000003035,3
000000003048,3
000000003040,26
000000003067,4
000000003077,25
000000003076,3
000000003080,7
000000003084,4
000000003103,22
000000003091,21
000000003093,4
000000003109,6
000000003118,3
000000003125,8
000000003124,3
000000003148,3
000000003134,10
000000003131,3
000000003145,9
000000003149,3
000000003157,24
000000003160,14
000000003178,16
000000003192,26
000000003197,3
000000003209,3
000000003217,3
000000003219,3
000000003234,13
000000003224,3
000000003225,15
000000003236,3
000000003220,3
000000003244,3
000000003249,14
000000003242,3
000000003259,5
000000003264,3
000000003272,3
000000003276,3
000000003270,26
000000003286,3
000000003293,3
000000003305,24
000000003310,4
000000003314,3
000000003320,3
000000003325,25
000000003321,3
000000003326,3
000000003335,9
000000003337,8
000000003342,3
000000003353,10
000000003361,3
000000003365,3
000000003348,4
000000003375,3
000000003366,3
000000003378,3
000000003382,16
000000003386,6
000000003412,12
000000003389,5
000000003398,3
000000003425,3
000000003442,22
000000003457,3
000000003432,26
000000003466,15
000000003461,18
000000003464,3
000000003481,7
000000003474,4
000000003478,3
000000003488,3
000000003480,8
000000003483,3
000000003493,3
000000003511,4
000000003518,6
000000003514,3
000000003517,12
000000003528,3
000000003521,3
000000003532,7
000000003535,8
000000003538,4
000000003579,26
000000003580,3
000000003602,26
000000003595,3
000000003590,9
000000003623,3
000000003613,3
000000003628,3
000000003637,18
000000003640,19
000000003668,3
000000003671,16
000000003682,3
000000003685,17
000000003690,25
000000003694,3
000000003693,7
000000003692,21
000000003703,23
000000003711,3
000000003713,3
000000003716,3
000000003737,4
000000003729,3
000000003735,3
000000003742,3
000000003745,6
000000003751,24
000000003761,3
000000003771,18
000000003764,19
000000003770,12
000000003779,3
000000003782,6
000000003789,4
000000003812,6
000000003786,3
000000003804,26
000000003793,3
000000003799,3
000000003794,3
000000003830,12
000000003823,3
000000003827,9
000000003817,3
000000003837,12
000000003832,3
000000003849,3
000000003867,24
000000003860,3
000000003862,21
000000003865,3
000000003866,4
000000003877,3
000000003870,26
000000003897,3
000000003899,25
000000003911,3
000000003915,13
000000003920,8
000000003917,22
000000003926,23
000000003939,4
000000003932,26
000000003938,12
000000003935,3
000000003941,21
000000003964,3
000000003947,3
000000003967,26
000000003982,3
000000003983,12
000000003988,4
000000003992,3
000000004032,3
000000003999,5
000000003995,4
000000004020,4
000000004011,3
000000004021,3
000000004038,5
000000004042,24
000000004051,4
000000004069,4
000000004057,13
000000004065,4
000000004066,3
000000004079,5
000000004068,4
000000004080,3
000000004093,3
000000004092,3
000000004125,4
000000004108,3
000000004130,3
000000004131,3
000000004129,4
000000004132,4
000000004138,25
000000004139,3
000000004140,12
000000004172,4
000000004173,6
000000004157,9
000000004159,9
000000004175,25
000000004189,3
000000004180,26
000000004187,3
000000004201,3
000000004211,5
000000004212,3
000000004208,3
000000004219,20
000000004229,8
000000004227,3
000000004239,7
000000004243,4
000000004245,4
000000004246,22
000000004244,25
000000004259,3
000000004256,26
000000004260,23
000000004265,4
000000004266,5
000000004282,7
000000004275,3
000000004278,9
000000004283,4
000000004289,11
000000004286,3
000000004296,24
000000004308,14
000000004309,3
000000004312,3
000000004318,3
000000004319,3
000000004322,3
000000004331,3
000000004355,25
000000004338,3
000000004375,26
000000004359,3
000000004360,7
000000004376,26
000000004392,7
000000004377,3
000000004386,4
000000004385,24
000000004394,4
000000004396,12
000000004410,9
000000004404,3
000000004421,7
000000004415,7
000000004424,6
000000004426,3
000000004428,22
000000004438,3
000000004441,3
000000004442,17
000000004444,12
000000004471,3
000000004462,3
000000004463,3
000000004477,25
000000004478,3
000000004481,3
000000004489,5
000000004488,3
000000004490,3
000000004497,3
000000004498,3
000000004502,3
000000004509,4
000000004508,13
000000004527,22
000000004537,19
000000004517,4
000000004535,5
000000004546,3
000000004554,19
000000004549,5
000000004567,4
000000004551,4
000000004555,3
000000004574,3
000000004571,3
000000004576,25
000000004575,21
000000004578,3
000000004579,5
000000004587,4
000000004592,24
000000004595,3
000000004608,6
000000004616,3
000000004620,23
000000004624,3
000000004622,3
000000004647,3
000000004678,3
000000004642,25
000000004665,26
000000004662,24
000000004688,3
000000004673,4
000000004684,4
000000004700,11
000000004694,25
000000004704,26
000000004702,21
000000004705,3
000000004706,4
000000004711,26
000000004714,3
000000004719,3
000000004716,3
000000004731,3
000000004736,3
000000004739,22
000000004742,3
000000004754,3
000000004749,21
000000004741,15
000000004760,7
000000004762,4
000000004761,3
000000004764,3
000000004772,8
000000004809,3
000000004794,25
000000004785,3
000000004796,4
000000004820,3
000000004823,3
000000004827,3
000000004830,24
000000004844,14
000000004859,6
000000004840,6
000000004834,4
000000004843,23
000000004880,26
000000004876,3
000000004885,5
000000004888,7
000000004893,3
000000004916,8
000000004891,26
000000004901,5
000000004903,3
000000004931,25
000000004904,22
000000004920,3
000000004936,24
000000004947,8
000000004963,15
000000004956,3
000000004968,3
000000004970,9
000000004971,24
000000004972,6
000000004978,8
000000004979,3
000000004975,26
000000004980,3
000000004981,3
000000004984,9
000000004993,16
000000004988,4
000000005005,5
000000005016,3
000000005010,3
000000005011,5
000000005021,4
000000005018,8
000000005028,13
000000005032,4
000000005033,23
000000005038,4
000000005046,3
000000005064,5
000000005073,3
000000005076,3
000000005083,3
000000005086,3
000000005088,6
000000005085,3
000000005094,21
000000005099,3
000000005095,4
000000005105,12
000000005107,4
000000005111,4
000000005113,7
000000005123,4
000000005115,3
000000005131,3
000000005124,25
000000005139,18
000000005146,4
000000005140,3
000000005142,4
000000005152,9
000000005151,3
000000005154,3
000000005156,3
000000005165,5
000000005172,3
000000005169,14
000000005174,25
000000005178,3
000000005180,3
000000005184,3
000000005213,3
000000005198,25
000000005205,18
000000005210,3
000000005225,26
000000005215,5
000000005219,26
000000005244,3
000000005237,26
000000005245,4
000000005247,3
000000005253,24
000000005263,3
000000005259,3
000000005260,3
000000005256,15
000000005277,3
000000005278,3
000000005282,3
000000005288,26
000000005294,23
000000005312,23
000000005313,3
000000005303,26
000000005325,7
000000005314,3
000000005324,5
000000005335,23
000000005326,5
000000005328,5
000000005336,3
000000005339,5
000000005340,3
000000005345,26
000000005344,4
000000005352,3
000000005356,22
000000005355,3
000000005362,26
000000005359,3
000000005360,3
000000005377,3
000000005368,3
000000005373,26
000000005376,3
000000005383,11
000000005388,4
000000005385,4
000000005396,4
000000005412,3
000000005394,3
000000005418,4
000000005425,3
000000005424,11
000000005430,22
000000005435,23
000000005434,5
000000005437,3
000000005443,3
000000005459,3
000000005453,4
000000005469,3
000000005471,3
000000005472,3
000000005476,8
000000005482,9
000000005486,3
000000005500,3
000000005483,3
000000005502,3
000000005522,3
000000005513,3
000000005508,4
000000005505,3
000000005535,3
000000005540,6
000000005554,3
000000005557,14
000000005559,3
000000005569,3
000000005564,3
000000005574,3
000000005577,24
000000005601,3
000000005595,23
000000005589,5
000000005587,26
000000005599,4
000000005608,25
000000005612,3
000000005614,8
000000005615,24
000000005619,4
000000005617,3
000000005632,6
000000005635,3
000000005620,26
000000005638,23
000000005641,4
000000005643,7
000000005644,3
000000005649,7
000000005652,24
000000005669,17
000000005667,4
000000005670,23
000000005683,6
000000005673,3
000000005678,25
000000005684,3
000000005689,25
000000005688,19
000000005692,4
000000005690,4
000000005699,4
000000005700,3
000000005694,25
000000005703,3
000000005701,3
000000005706,3
000000005713,6
000000005728,6
000000005715,22
000000005723,5
000000005736,3
000000005724,3
000000005745,6
000000005754,5
000000005740,8
000000005756,10
000000005755,4
000000005757,3
000000005758,3
000000005769,3
000000005785,3
000000005782,3
000000005802,19
000000005804,17
000000005809,3
000000005811,3
000000005816,3
000000005820,3
000000005828,8
000000005823,24
000000005830,3
000000005860,26
000000005832,3
000000005882,3
000000005862,13
000000005879,3
000000005883,3
000000005903,26
000000005907,26
000000005915,3
000000005916,3
000000005906,26
000000005913,5
000000005917,3
000000005933,6
000000005934,9
000000005946,9
000000005947,12
000000005961,7
000000005962,3
000000005965,23
000000005967,15
000000005994,19
000000005991,4
000000006004,3
000000006010,4
000000006005,3
000000006019,8
000000006016,3
000000006028,4
000000006031,3
000000006026,3
000000006033,4
000000006053,4
000000006042,3
000000006051,13
000000006041,3
000000006057,26
000000006068,6
000000006091,8
000000006074,4
000000006066,3
000000006101,25
000000006075,5
000000006107,26
000000006120,3
000000006146,4
000000006151,4
000000006140,4
000000006148,25
000000006153,3
000000006160,6
000000006155,25
000000006178,8
000000006177,9
000000006180,3
000000006182,9
000000006189,3
000000006197,12
000000006200,3
000000006190,26
000000006216,3
000000006220,9
000000006225,26
000000006211,23
000000006226,7
000000006229,6
000000006241,3
000000006230,23
000000006233,16
000000006247,23
000000006263,4
000000006262,26
000000006268,26
000000006253,26
000000006266,3
000000006270,25
000000006295,24
000000006287,3
000000006293,3
000000006306,8
000000006318,26
000000006327,18
000000006334,3
000000006347,3
000000006332,25
000000006336,3
000000006338,10
000000006355,4
000000006339,22
000000006352,3
000000006364,25
000000006358,4
000000006357,4
000000006379,26
000000006363,3
000000006380,5
000000006397,10
000000006393,13
000000006407,26
000000006406,6
000000006409,12
000000006415,26
000000006414,3
000000006417,3
000000006422,21
000000006424,3
000000006421,23
000000006428,6
000000006426,16
000000006432,3
000000006437,3
000000006447,3
000000006451,9
000000006450,24
000000006464,26
000000006465,3
000000006481,7
000000006484,6
000000006473,3
000000006488,3
000000006491,3
000000006489,21
000000006512,5
000000006497,7
000000006518,3
000000006517,7
000000006522,3
000000006520,26
000000006531,3
000000006527,7
000000006539,4
000000006541,3
000000006578,21
000000006560,4
000000006562,6
000000006589,5
000000006579,3
000000006572,26
000000006580,3
000000006586,3
000000006593,26
000000006590,3
000000006595,21
000000006602,3
000000006603,10
000000006599,3
000000006608,5
000000006627,4
000000006631,25
000000006632,4
000000006658,21
000000006647,15
000000006640,24
000000006651,11
000000006662,11
000000006664,5
000000006672,3
000000006675,5
000000006673,3
000000006688,4
000000006701,5
000000006709,3
000000006692,3
000000006710,23
000000006712,6
000000006719,4
000000006720,3
000000006715,3
000000006721,3
000000006725,3
000000006730,3
000000006733,3
000000006744,4
000000006749,3
000000006747,26
000000006748,4
000000006753,3
000000006760,3
000000006773,19
000000006764,7
000000006765,4
000000006780,13
000000006777,3
000000006783,4
000000006789,3
000000006800,3
000000006790,23
000000006792,9
000000006819,20
000000006810,3
000000006809,3
000000006811,3
000000006824,4
000000006845,6
000000006854,3
000000006842,3
000000006846,4
000000006860,23
000000006847,4
000000006861,7
000000006862,3
000000006864,10
000000006870,3
000000006871,4
000000006873,3
000000006874,3
000000006896,5
000000006901,3
000000006914,3
000000006906,7
000000006920,25
000000006941,3
000000006921,19
000000006936,3
000000006935,17
000000006943,12
000000006945,10
000000006957,4
000000006990,3
000000006949,24
000000006996,3
000000006964,25
000000006973,3
000000006998,4
000000006981,5
000000007022,26
000000007035,9
000000007028,3
000000007040,3
000000007023,3
000000007049,3
000000007048,12
000000007072,5
000000007050,25
000000007069,3
000000007103,4
000000007096,7
000000007104,4
000000007095,3
000000007090,26
000000007116,3
000000007107,26
000000007115,6
000000007123,4
000000007124,14
000000007139,5
000000007129,7
000000007125,3
000000007143,3
000000007145,3
000000007149,14
000000007150,4
000000007155,3
000000007159,7
000000007167,4
000000007178,4
000000007179,24
000000007174,3
000000007207,3
000000007201,4
000000007202,4
000000007211,3
000000007205,3
000000007214,3
000000007220,23
000000007221,3
000000007228,25
000000007239,20
000000007232,11
000000007224,3
000000007247,3
000000007241,21
000000007256,26
000000007253,26
000000007260,5
000000007251,4
000000007267,4
000000007274,3
000000007275,12
000000007277,3
000000007276,5
000000007288,25
000000007297,3
000000007304,24
000000007320,4
000000007298,26
000000007307,5
000000007318,3
000000007319,6
000000007333,3
000000007355,22
000000007357,3
000000007325,5
000000007361,6
000000007394,10
000000007393,4
000000007367,26
000000007396,3
000000007398,26
000000007420,25
000000007424,7
000000007414,5
000000007444,24
000000007455,4
000000007452,5
000000007489,4
000000007476,4
000000007500,3
000000007498,3
000000007504,3
000000007503,3
000000007510,3
000000007506,5
000000007517,22
000000007519,3
000000007522,3
000000007524,15
000000007544,3
000000007556,11
000000007535,4
000000007539,26
000000007558,4
000000007559,26
000000007592,26
000000007567,26
000000007570,6
000000007566,3
000000007583,16
000000007584,3
000000007593,18
000000007594,25
000000007615,3
000000007596,3
000000007601,4
000000007616,3
000000007603,4
000000007621,26
000000007623,3
000000007625,3
000000007627,5
000000007643,22
000000007629,5
000000007642,3
000000007650,7
000000007653,3
000000007665,3
000000007666,6
000000007673,7
000000007669,26
000000007677,4
000000007690,3
000000007682,3
000000007685,3
000000007689,3
000000007697,3
000000007713,20
000000007710,3
000000007721,4
000000007722,18
000000007727,3
000000007726,3
000000007729,3
000000007730,3
000000007733,25
000000007746,26
000000007740,3
000000007735,3
000000007758,3
000000007753,8
000000007757,12
000000007762,5
000000007772,3
000000007778,3
000000007785,5
000000007781,3
000000007787,16
000000007789,3
000000007782,5
000000007794,3
000000007819,4
000000007796,15
000000007827,4
000000007809,5
000000007839,5
000000007830,3
000000007838,3
000000007823,26
000000007852,26
000000007867,3
000000007855,3
000000007853,21
000000007856,23
000000007913,11
000000007873,5
000000007890,3
000000007931,3
000000007899,3
000000007894,23
000000007932,3
000000007921,21
000000007936,3
000000007944,22
000000007934,19
000000007938,9
000000007946,7
000000007945,25
000000007952,4
000000007954,25
000000007953,22
000000007961,3
000000007989,4
000000007988,26
000000007996,5
000000008005,3
000000008019,8
000000008006,20
000000008010,4
000000008014,3
000000008016,3
000000008024,23
000000008025,3
000000008045,25
000000008042,7
000000008043,3
000000008053,3
000000008027,3
000000008055,3
000000008062,26
000000008058,4
000000008065,7
000000008063,3
000000008080,3
000000008064,4
000000008074,4
000000008066,4
000000008086,4
000000008081,4
000000008093,3
000000008114,3
000000008095,3
000000008128,6
000000008106,3
000000008131,3
000000008119,11
000000008138,3
000000008170,8
000000008179,8
000000008160,25
000000008176,23
000000008152,3
000000008180,3
000000008181,3
000000008186,3
000000008187,3
000000008190,3
000000008188,3
000000008191,3
000000008193,24
000000008223,3
000000008196,23
000000008195,3
000000008204,3
000000008218,3
000000008228,26
000000008238,3
000000008234,3
000000008245,3
000000008284,11
000000008267,3
000000008294,25
000000008285,20
000000008290,3
000000008292,3
000000008297,3
000000008300,3
000000008305,24
000000008309,4
000000008311,3
000000008320,3
000000008314,3
000000008321,4
000000008329,25
000000008332,4
000000008336,24
000000008333,3
000000008341,3
000000008345,4
000000008350,5
000000008339,24
000000008351,3
000000008356,3
000000008379,6
000000008369,26
000000008373,6
000000008396,26
000000008385,5
000000008394,7
000000008383,5
000000008401,3
000000008414,3
000000008429,3
000000008405,26
000000008418,3
000000008431,11
000000008422,12
000000008432,18
000000008433,4
000000008443,25
000000008439,20
000000008453,3
000000008445,3
000000008436,3
000000008457,3
000000008458,3
000000008469,6
000000008468,3
000000008471,23
000000008483,3
000000008473,26
000000008494,3
000000008493,4
000000008495,26
000000008519,3
000000008498,3
000000008504,3
000000008520,3
000000008531,16
000000008547,7
000000008536,6
000000008548,4
000000008549,3
000000008553,3
000000008559,3
000000008564,14
000000008562,12
000000008568,13
000000008571,3
000000008574,3
000000008581,4
000000008593,16
000000008580,3
000000008583,11
000000008589,3
000000008587,8
000000008592,8
000000008594,24
000000008595,3
000000008602,4
000000008630,4
000000008612,6
000000008599,19
000000008603,3
000000008639,22
000000008644,4
000000008653,7
000000008649,9
000000008647,3
000000008646,25
000000008657,3
000000008659,25
000000008677,4
000000008665,8
000000008676,14
000000008708,3
000000008686,26
000000008688,3
000000008691,3
000000008711,7
000000008721,3
000000008725,3
000000008718,3
000000008731,3
000000008733,3
000000008734,3
000000008746,3
000000008747,3
000000008749,3
000000008772,21
000000008771,5
000000008761,14
000000008773,3
000000008775,24
000000008776,11
000000008781,3
000000008785,7
000000008786,14
000000008787,17
000000008789,17
000000008797,3
000000008791,23
000000008794,3
000000008803,3
000000008816,6
000000008809,26
000000008807,5
000000008813,10
000000008821,3
000000008830,3
000000008829,3
000000008834,3
000000008841,3
000000008832,3
000000008836,3
000000008846,3
000000008853,3
000000008848,3
000000008856,5
000000008884,8
000000008872,3
000000008881,3
000000008888,3
000000008876,20
000000008909,3
000000008896,26
000000008892,25
000000008923,18
000000008920,3
000000008933,3
000000008922,3
000000008936,3
000000008944,3
000000008934,3
000000008965,16
000000008968,4
000000008953,3
000000008958,3
000000008979,4
000000009003,5
000000008991,6
000000008998,6
000000008981,3
000000008999,8
000000009002,3
000000009007,7
000000009016,3
000000009017,21
000000009012,24
000000009024,25
000000009018,23
000000009029,3
000000009025,3
000000009038,25
000000009039,3
000000009041,4
000000009045,3
000000009050,10
000000009057,4
000000009060,3
000000009075,3
000000009069,3
000000009062,26
000000009064,3
000000009077,25
000000009091,3
000000009095,3
000000009112,23
000000009113,11
000000009119,3
000000009105,3
000000009127,6
000000009133,11
000000009138,3
000000009145,3
000000009142,3
000000009148,3
000000009170,4
000000009171,3
000000009156,3
000000009174,3
000000009172,3
000000009178,3
000000009176,25
000000009175,20
000000009180,3
000000009186,23
000000009185,3
000000009190,3
000000009202,3
000000009199,23
000000009195,12
000000009214,26
000000009203,4
000000009211,17
000000009217,4
000000009218,22
000000009226,26
000000009231,5
000000009236,19
000000009253,3
000000009248,5
000000009262,26
000000009270,25
000000009274,3
000000009287,3
000000009275,16
000000009288,3
000000009296,3
000000009317,9
000000009286,3
000000009321,3
000000009322,3
000000009372,6
000000009379,14
000000009353,4
000000009395,3
000000009381,3
000000009398,3
000000009420,25
000000009408,3
000000009409,12
000000009413,6
000000009426,25
000000009425,25
000000009429,11
000000009446,4
000000009451,25
000000009452,26
000000009450,3
000000009460,23
000000009469,17
000000009465,3
000000009462,4
000000009466,26
000000009474,23
000000009478,3
000000009488,20
000000009479,23
000000009509,3
000000009497,3
000000009511,4
000000009514,4
000000009517,24
000000009539,8
000000009527,6
000000009520,3
000000009548,23
000000009542,3
000000009557,21
000000009553,3
000000009556,14
000000009572,3
000000009608,15
000000009599,4
000000009615,6
000000009603,3
000000009620,3
000000009640,4
000000009628,3
000000009658,25
000000009647,25
000000009651,4
000000009656,5
000000009648,23
000000009668,23
000000009669,26
000000009673,3
000000009678,6
000000009679,3
000000009696,4
000000009677,3
000000009698,16
000000009695,14
000000009707,15
000000009699,3
000000009708,3
000000009721,3
000000009709,12
000000009712,3
000000009727,3
000000009729,5
000000009725,3
000000009723,17
000000009738,26
000000009744,4
000000009735,3
000000009745,3
000000009759,24
000000009763,3
000000009760,4
000000009767,3
000000009771,3
000000009768,6
000000009774,3
000000009778,3
000000009797,4
000000009789,25
000000009791,3
000000009800,3
000000009809,4
000000009807,7
000000009801,9
000000009813,26
000000009820,3
000000009822,4
000000009833,3
000000009845,11
000000009836,3
000000009830,11
000000009843,20
000000009851,4
000000009846,26
000000009872,3
000000009857,3
000000009865,3
000000009866,21
000000009859,5
000000009878,3
000000009885,10
000000009895,3
000000009904,3
000000009898,3
000000009910,3
000000009908,3
000000009919,26
000000009929,5
000000009927,13
000000009935,4
000000009941,25
000000009946,5
000000009945,3
000000009951,3
000000009968,4
000000009975,16
000000009960,3
000000009983,3
000000009988,3
000000009987,3
000000009990,3
000000009993,6
000000010005,5
000000009999,5
000000010008,24
000000010012,12
000000010014,17
000000010024,3
000000010023,7
000000010037,25
000000010015,9
000000010039,3
000000010040,3
000000010041,10
000000010077,5
000000010046,4
000000010058,3
000000010069,3
000000010056,23
000000010073,24
000000010082,10
000000010083,6
000000010094,24
000000010097,3
